Entry Year,Num Trades,Avg PnL (£),Total PnL (£),Avg Hold Days,Win Rate %
2018,2,-163.03612799725383,-326.07225599450766,4.0,50.0
2019,27,83.23618529025087,2247.3770028367735,20.51851851851852,51.85185185185185
2020,31,254.53021835481394,7890.436768999232,17.06451612903226,64.51612903225806
2021,34,105.0995708890625,3573.3854102281252,14.441176470588236,52.94117647058824
2022,15,-66.14933890995177,-992.2400836492765,9.866666666666667,53.333333333333336
2023,38,212.23863744968668,8065.068223088094,13.921052631578947,50.0
2024,39,1726.3704806114813,67328.44874384777,20.384615384615383,82.05128205128204
2025,31,788.3743835338344,24439.605889548864,14.806451612903226,48.38709677419355
