Ticker,Entry Date,Exit Date,Holding Days,Entry,Exit,PnL (£),PnL %,Market,Exit Reason,Was Profitable,Entry Year
A,2018-11-30,2018-12-04,4,68.70627572250366,69.03065210723878,47.21204596290949,0.62,US,Risk-Off,True,2018
ABT,2018-11-30,2018-12-04,4,65.28593836212158,62.84888339233399,-373.2894143712817,-3.59,US,Risk-Off,False,2018
DXCM,2019-02-28,2019-03-18,18,34.884749208450316,36.48269222640992,238.49107885010122,4.74,US,Stop,True,2019
TKO,2019-02-28,2019-03-19,19,76.84721487426758,81.94697849273682,345.5161636155704,6.8,US,Stop,True,2019
TTD,2019-02-28,2019-03-22,22,19.783630709648133,20.260563865661624,103.19985586515445,2.56,US,Stop,True,2019
CVNA,2019-02-28,2019-04-04,35,44.92729061126709,59.85008862876892,1654.1564688192736,33.42,US,Stop,True,2019
TTD,2019-04-30,2019-05-10,10,22.181222718238832,18.32347333240509,-520.665133999224,-17.27,US,Stop,False,2019
AMD,2019-04-30,2019-05-13,13,27.671444159507754,26.20063977146149,-266.6912078972921,-5.17,US,Stop,False,2019
CVNA,2019-04-30,2019-05-13,13,71.66733755493165,62.1466416759491,-519.7636578774947,-13.15,US,Stop,False,2019
PAYC,2019-04-30,2019-05-13,13,198.80641471099855,193.04349584960937,-146.26497006978283,-2.75,US,Stop,False,2019
TKO,2019-04-30,2019-05-20,20,77.09057558441162,72.0106724319458,-332.49288725600127,-6.45,US,Stop,False,2019
PAYC,2019-07-31,2019-08-14,14,236.32374227905274,227.34601445770264,-172.63974493774276,-3.65,US,Stop,False,2019
TTD,2019-07-31,2019-08-15,15,26.370495873451233,24.31547128391266,-219.70289428334527,-7.65,US,Stop,False,2019
ERIE,2019-07-31,2019-08-23,23,195.93229798126222,188.39159441375733,-174.8990871205573,-3.7,US,Stop,False,2019
MTCH,2019-07-31,2019-09-02,33,73.23941717910768,82.2433091468811,464.30824718442153,12.46,US,Risk-Off,True,2019
SBUX,2019-07-31,2019-09-02,33,82.29611083984375,83.98711894607544,93.37875600977551,2.21,US,Risk-Off,True,2019
JD.L,2019-09-30,2019-10-02,2,150.9837833404541,146.1938934326172,-146.87654375146084,-3.17,UK,Risk-Off,False,2019
PODD,2019-09-30,2019-10-10,10,165.17738766479494,154.66764390563966,-191.20516839191262,-6.22,US,Stop,False,2019
TER,2019-09-30,2019-10-18,18,56.464127901077276,57.286545463562014,48.43722830099014,1.61,US,Stop,True,2019
CMG,2019-09-30,2019-10-22,22,16.834614659309388,16.59646873188019,-65.49334852167775,-1.27,US,Stop,False,2019
LRCX,2019-10-31,2019-11-19,19,25.177193632125856,25.631519834518436,91.63909501171443,1.96,US,Stop,True,2019
KLAC,2019-09-30,2019-11-20,51,147.91094145965576,161.3960767440796,422.09695846594065,9.28,US,Stop,True,2019
CVNA,2019-10-31,2019-11-28,28,81.20162183380127,94.8375333518982,852.7854815342498,16.97,US,Risk-Off,True,2019
MTCH,2019-10-31,2019-11-28,28,71.00204209518434,68.03499360275269,-212.2140489691445,-4.03,US,Risk-Off,False,2019
CVNA,2019-12-31,2020-01-14,14,92.18807805633546,85.89096664810181,-212.3202378656188,-6.69,US,Stop,False,2019
AMD,2019-12-31,2020-01-20,20,45.92879061126709,50.85360530471802,474.9403401887667,10.89,US,Risk-Off,True,2019
PODD,2019-12-31,2020-01-20,20,171.45679694366456,188.4768545150757,445.5353557256688,10.09,US,Risk-Off,True,2019
TER,2019-12-31,2020-01-20,20,66.58170998001098,68.42657910919189,124.59309979727291,2.93,US,Risk-Off,True,2019
JD.L,2019-12-31,2020-01-21,21,168.26496505737302,170.8667449951172,69.52807938582801,1.55,UK,Stop,True,2019
CVNA,2020-01-31,2020-02-17,17,79.368875,88.48707274246216,549.0552355848588,11.66,US,Risk-Off,True,2020
GNRC,2020-01-31,2020-02-17,17,103.74538133239747,113.09011213302612,538.3489135043084,9.17,US,Risk-Off,True,2020
PODD,2020-01-31,2020-02-17,17,194.33105327606202,212.00152731323243,543.4652915327584,9.26,US,Risk-Off,True,2020
TSLA,2020-01-31,2020-02-17,17,43.43639107704163,53.25533177566528,1172.8906460383553,22.79,US,Risk-Off,True,2020
DDOG,2020-06-30,2020-07-03,3,87.08042194366456,89.4556113433838,144.53497563245682,2.88,US,Risk-Off,True,2020
DXCM,2020-06-30,2020-07-03,3,101.50202347183229,101.6847452735901,9.793116533731245,0.33,US,Risk-Off,True,2020
MRNA,2020-06-30,2020-07-03,3,64.30631408309937,58.48214469528199,-315.2197616674358,-8.92,US,Risk-Off,False,2020
NVDA,2020-06-30,2020-07-03,3,9.47968571138382,9.565229029178619,49.090494274578745,1.05,US,Risk-Off,True,2020
TSLA,2020-06-30,2020-07-03,3,72.09531620788574,80.4564655456543,587.458604295302,11.77,US,Risk-Off,True,2020
DDOG,2020-07-31,2020-08-10,10,94.00079061126709,76.25045036697388,-899.7695403468603,-18.76,US,Stop,False,2020
DXCM,2020-07-31,2020-08-28,28,109.04832963943483,104.58039679718019,-246.09851504600664,-3.95,US,Stop,False,2020
TSLA,2020-07-31,2020-09-02,33,95.5270786895752,148.8996517868042,2882.13976195993,56.11,US,Stop,True,2020
NVDA,2020-07-31,2020-09-03,34,10.59456047487259,12.955703571319582,1338.6305681711362,22.47,US,Stop,True,2020
MRNA,2020-07-31,2020-09-04,35,74.21114847183227,62.50609847640992,-514.8652453466086,-15.65,US,Stop,False,2020
AMD,2020-08-31,2020-09-07,7,90.95622969436646,81.88698713302612,-479.8819263979312,-9.84,US,Risk-Off,False,2020
DXCM,2020-08-31,2020-09-07,7,106.51202966690064,99.41065756225586,-320.87762542981187,-6.53,US,Risk-Off,False,2020
MRNA,2020-09-30,2020-10-16,16,70.856125,73.82909243774415,233.34565479222655,4.35,US,Stop,True,2020
NVDA,2020-09-30,2020-10-19,19,13.508804023742677,13.435738243579864,-33.34322033354105,-0.39,US,Stop,False,2020
TSLA,2020-09-30,2020-10-19,19,143.21783140563966,143.39458560943604,5.8086384883487785,0.27,US,Stop,True,2020
