Entry Year,Num Trades,Avg PnL (£),Total PnL (£),Avg Hold Days,Win Rate %
2018,2,-163.0386842041861,-326.0773684083722,4.0,50.0
2019,27,83.2361954745731,2247.3772778134735,20.51851851851852,51.85185185185185
2020,31,254.53001260368072,7890.430390714102,17.06451612903226,64.51612903225806
2021,34,105.09951297271282,3573.3834410722357,14.441176470588236,52.94117647058824
2022,15,-66.14932698963979,-992.2399048445968,9.866666666666667,53.333333333333336
2023,38,212.23839644412584,8065.059064876782,13.921052631578947,50.0
2024,39,1726.3694791317826,67328.40968613952,20.384615384615383,82.05128205128204
2025,31,788.3740523698804,24439.59562346629,14.806451612903226,48.38709677419355
